reach_node_index,distance_covered,flow_accumulation
3562084,814,1.04E+07
3564784,815,1.04E+07
3567484,816,1.04E+07
3570184,817,1.04E+07
3572884,818,1.04E+07
3575584,819,1.04E+07
3578284,820,1.05E+07
3580985,821,1.05E+07
3583685,822,1.05E+07
3586386,823,1.05E+07
3586387,824,1.05E+07
3589088,825,1.05E+07
3589089,826,1.05E+07
3589090,827,1.05E+07
3589091,828,1.05E+07
3589092,829,1.05E+07
3589093,830,1.05E+07
3589094,831,1.05E+07
3589095,832,1.05E+07
3591796,833,1.05E+07
3591797,834,1.05E+07
3591798,835,1.05E+07
3591799,836,1.05E+07
3594499,837,1.05E+07
3594500,838,1.05E+07
3594501,839,1.05E+07
3597202,840,1.05E+07
3597203,841,1.05E+07
3597204,842,1.05E+07
3597205,843,1.05E+07
3597206,844,1.05E+07
3597207,845,1.05E+07
3597208,846,1.05E+07
3597209,847,1.05E+07
3597210,848,1.05E+07
3597211,849,1.05E+07
3599912,850,1.05E+07
3599913,851,1.05E+07
3599914,852,1.05E+07
3597215,853,1.05E+07
3594516,854,1.05E+07
3594517,855,1.05E+07
3597218,856,1.05E+07
3597219,857,1.05E+07
3597220,858,1.05E+07
3597221,859,1.05E+07
3597222,860,1.05E+07
3597223,861,1.05E+07
3599924,862,1.05E+07
3602625,863,1.05E+07
3602626,864,1.05E+07
3602627,865,1.05E+07
3605328,866,1.05E+07
3608029,867,1.05E+07
3608030,868,1.05E+07
3610731,869,1.05E+07
3610732,870,1.05E+07
3610733,871,1.05E+07
3610734,872,1.05E+07
3610735,873,1.05E+07
3610736,874,1.05E+07
3610737,875,1.05E+07
3610738,876,1.05E+07
3610739,877,1.05E+07
3610740,878,1.05E+07
3613441,879,1.05E+07
3613442,880,1.05E+07
3613443,881,1.05E+07
3613444,882,1.05E+07
3613445,883,1.05E+07
3613446,884,1.05E+07
3613447,885,1.05E+07
3613448,886,1.05E+07
3613449,887,1.05E+07
3613450,888,1.05E+07
3613451,889,1.05E+07
3613452,890,1.05E+07
3613453,891,1.05E+07
3613454,892,1.05E+07
3613455,893,1.05E+07
3616156,894,1.05E+07
3616157,895,1.05E+07
3618858,896,1.05E+07
3618859,897,1.05E+07
3618860,898,1.05E+07
